city,GPSLatitude,GPSLontitude,DegreeLatitude,DegreeLontitude,code,zcode
北京市,39.90281066,116.4011742,39°54′10.12″,116°24′4.23″,10,110000
东城区,39.92718128,116.4101342,39°55′37.85″,116°24′36.48″,10,110101
西城区,39.91107067,116.3594034,39°54′39.85″,116°21′33.85″,10,110102
崇文区,39.88436616,116.4361834,39°53′3.72″,116°26′10.26″,10,110103
宣武区,39.87097546,116.3574818,39°52′15.51″,116°21′26.93″,10,110104
朝阳区,39.91965165,116.436976,39°55′10.75″,116°26′13.11″,10,110105
丰台区,39.85725867,116.2802817,39°51′26.13″,116°16′49.01″,10,110106
石景山区,39.90441746,116.2168068,39°54′15.90″,116°13′0.50″,10,110107
海淀区,39.95845592,116.2919448,39°57′30.44″,116°17′31.00″,10,110108
门头沟区,39.9389436,116.095373,39°56′20.20″,116°5′43.34″,10,110109
房山区,39.74778297,116.1370121,39°44′52.02″,116°8′13.24″,10,110111
通州区,39.90886636,116.650563,39°54′31.92″,116°39′2.03″,10,110112
顺义区,40.12912,116.648938,40°7′44.83″,116°38′56.18″,10,110113
昌平区,40.2194107,116.2251154,40°13′9.88″,116°13′30.42″,10,110114
大兴区,39.7256212,116.3352742,39°43′32.24″,116°20′6.99″,10,110115
怀柔区,40.31511487,116.6261741,40°18′54.41″,116°37′34.23″,10,110116
平谷区,40.13924189,117.1145413,40°8′21.27″,117°6′52.35″,10,110117
密云县,40.37513695,116.8369463,40°22′30.49″,116°50′13.01″,10,110228
延庆县,40.45546111,115.9689001,40°27′19.66″,115°58′8.04″,10,110229
天津市,39.0831461,117.1946744,39°4′59.33″,117°11′40.83″,22,120000
和平区,39.11608219,117.2084102,39°6′57.90″,117°12′30.28″,22,120101
河东区,39.12228216,117.219336,39°7′20.22″,117°13′9.61″,22,120102
河西区,39.10865986,117.2172823,39°6′31.18″,117°13′2.22″,22,120103
南开区,39.13706898,117.1443429,39°8′13.45″,117°8′39.63″,22,120104
河北区,39.14697035,117.1905271,39°8′49.09″,117°11′25.90″,22,120105
红桥区,39.16618984,117.1451289,39°9′58.28″,117°8′42.46″,22,120106
东丽区,39.08567808,117.3076175,39°5′8.44″,117°18′27.42″,22,120110
西青区,39.14032228,117.0029624,39°8′25.16″,117°0′10.66″,22,120111
津南区,38.93638592,117.3513795,38°56′10.99″,117°21′4.97″,22,120112
北辰区,39.22027048,117.1260027,39°13′12.97″,117°7′33.61″,22,120113
武清区,39.38284095,117.0381108,39°22′58.23″,117°2′17.20″,22,120114
宝坻区,39.71629902,117.3034341,39°42′58.68″,117°18′12.36″,22,120115
滨海新区,39.00223419,117.7044247,39°0′8.04″,117°42′15.93″,22,120116
宁河县,39.3295632,117.8186699,39°19′46.43″,117°49′7.21″,22,120221
静海县,38.94677821,116.9684085,38°56′48.40″,116°58′6.27″,22,120223
蓟县,40.04462889,117.4016256,40°2′40.66″,117°24′5.85″,22,120225
石家庄市,38.04165214,114.5088465,38°2′29.95″,114°30′31.85″,311,130100
长安区,38.03608786,114.5331645,38°2′9.92″,114°31′59.39″,311,130102
桥东区,38.04669089,114.4985972,38°2′48.09″,114°29′54.95″,311,130103
桥西区,38.03188297,114.4635806,38°1′54.78″,114°27′48.89″,311,130104
新华区,38.05009528,114.457054,38°3′0.34″,114°27′25.39″,311,130105
井陉矿区,38.06372804,114.0628676,38°3′49.42″,114°3′46.32″,311,130107
裕华区,38.00587482,114.525482,38°0′21.15″,114°31′31.74″,311,130108
井陉县,38.03397916,114.1398534,38°2′2.32″,114°8′23.47″,311,130121
正定县,38.14594887,114.5650772,38°8′45.42″,114°33′54.28″,311,130123
栾城县,37.89964548,114.6425191,37°53′58.72″,114°38′33.07″,311,130124
行唐县,38.43635279,114.5453394,38°26′10.87″,114°32′43.22″,311,130125
灵寿县,38.30570087,114.3720046,38°18′20.52″,114°22′19.22″,311,130126
高邑县,37.61522362,114.6057602,37°36′54.81″,114°36′20.74″,311,130127
深泽县,38.18381479,115.1946966,38°11′1.73″,115°11′40.91″,311,130128
赞皇县,37.66468131,114.3797404,37°39′52.85″,114°22′47.07″,311,130129
无极县,38.17850851,114.9703692,38°10′42.63″,114°58′13.33″,311,130130
平山县,38.25504405,114.1963328,38°15′18.16″,114°11′46.80″,311,130131
元氏县,37.76600046,114.5195308,37°45′57.60″,114°31′10.31″,311,130132
赵县,37.75572175,114.7702359,37°45′20.60″,114°46′12.85″,311,130133
辛集市,37.94254456,115.211868,37°56′33.16″,115°12′42.72″,311,130181
藁城市,38.02110639,114.8409791,38°1′15.98″,114°50′27.52″,311,130182
晋州市,38.03290874,115.0379886,38°1′58.47″,115°2′16.76″,311,130183
新乐市,38.34468568,114.6840196,38°20′40.87″,114°41′2.47″,311,130184
鹿泉市,38.08128216,114.316033,38°4′52.62″,114°18′57.72″,311,130185
唐山市,39.62915804,118.1741145,39°37′44.97″,118°10′26.81″,315,130200
路南区,39.62367933,118.1479357,39°37′25.25″,118°8′52.57″,315,130202
路北区,39.62308604,118.1945655,39°37′23.11″,118°11′40.44″,315,130203
古冶区,39.71455999,118.4526828,39°42′52.42″,118°27′9.66″,315,130204
开平区,39.67007826,118.2557157,39°40′12.28″,118°15′20.58″,315,130205
丰南区,39.56207227,118.1050653,39°33′43.46″,118°6′18.24″,315,130207
丰润区,39.83120195,118.1558377,39°49′52.33″,118°9′21.02″,315,130208
滦县,39.73951851,118.6975813,39°44′22.27″,118°41′51.29″,315,130223
滦南县,39.50275809,118.6680932,39°30′9.93″,118°40′5.14″,315,130224
乐亭县,39.42459443,118.9067164,39°25′28.54″,118°54′24.18″,315,130225
迁西县,40.14018641,118.3083655,40°8′24.67″,118°18′30.12″,315,130227
玉田县,39.89915816,117.7322475,39°53′56.97″,117°43′56.09″,315,130229
唐海县,39.27192488,118.4541008,39°16′18.93″,118°27′14.76″,315,130230
遵化市,40.1880241,117.9596819,40°11′16.89″,117°57′34.85″,315,130281
迁安市,39.99786752,118.6951281,39°59′52.32″,118°41′42.46″,315,130283
秦皇岛市,39.93427061,119.5947199,39°56′3.37″,119°35′40.99″,335,130300
海港区,39.93340085,119.604697,39°56′0.24″,119°36′16.91″,335,130302
山海关区,39.9775049,119.7697667,39°58′39.02″,119°46′11.16″,335,130303
北戴河区,39.83323705,119.478364,39°49′59.65″,119°28′42.11″,335,130304
青龙满族自治县,40.40599714,118.944139,40°24′21.59″,118°56′38.90″,335,130321
昌黎县,39.71142729,119.1564384,39°42′41.14″,119°9′23.18″,335,130322
抚宁县,39.87496963,119.2387218,39°52′29.89″,119°14′19.40″,335,130323
卢龙县,39.89085215,118.8871281,39°53′27.07″,118°53′13.66″,335,130324
邯郸市,36.61203878,114.4870296,36°36′43.34″,114°29′13.31″,310,130400
邯山区,36.59981681,114.4777789,36°35′59.34″,114°28′40.00″,310,130402
丛台区,36.6182401,114.4874962,36°37′5.66″,114°29′14.99″,310,130403
复兴区,36.61103867,114.4532351,36°36′39.74″,114°27′11.65″,310,130404
峰峰矿区,36.41948213,114.2067042,36°25′10.14″,114°12′24.14″,310,130406
邯郸县,36.59410093,114.5251389,36°35′38.76″,114°31′30.50″,310,130421
临漳县,36.33513835,114.6139463,36°20′6.50″,114°36′50.21″,310,130423
成安县,36.44261279,114.6844548,36°26′33.41″,114°41′4.04″,310,130424
大名县,36.2855081,115.1417257,36°17′7.83″,115°8′30.21″,310,130425
涉县,36.55600115,113.6623572,36°33′21.60″,113°39′44.49″,310,130426
磁县,36.35905172,114.3742399,36°21′32.59″,114°22′27.26″,310,130427
肥乡县,36.55030757,114.8083283,36°33′1.11″,114°48′29.98″,310,130428
永年县,36.77740487,114.4850975,36°46′38.66″,114°29′6.35″,310,130429
邱县,36.81951645,115.1702697,36°49′10.26″,115°10′12.97″,310,130430
鸡泽县,36.92012699,114.8726288,36°55′12.46″,114°52′21.46″,310,130431
广平县,36.48350125,114.9429422,36°29′0.60″,114°56′34.59″,310,130432
馆陶县,36.53534305,115.2935641,36°32′7.23″,115°17′36.83″,310,130433
